case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,initial_granularity,final_granularity,reached_target,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution
C01-linux-provenance,stage,0.6,23,random,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,,7.0,,3,C01-AA-005|C01-AA-001|C01-AA-006,7,2,0.6667,0.6,2,1
C01-linux-provenance,stage,0.6,23,fixed_order,G3_campaign,G2_tactic_intent,G3_campaign,1,7.0,7.0,3,3,C01-AA-001|C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,23,coverage_greedy,G3_campaign,G2_tactic_intent,G3_campaign,1,5.0,5.0,2,2,C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,23,project05_m1,G3_campaign,G2_tactic_intent,G3_campaign,1,5.0,5.0,2,2,C01-AA-003|C01-AA-007,7,5,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,23,full_evidence,G3_campaign,G3_campaign,G3_campaign,1,0.0,0.0,0,0,,0,0,1.0,1.0,0,0
C01-linux-provenance,stage,0.6,37,random,G3_campaign,G1_technique,G2_tactic_intent,0,,7.0,,2,C01-AA-007|C01-AA-005,7,3,0.6667,0.4,1,1
C01-linux-provenance,stage,0.6,37,fixed_order,G3_campaign,G1_technique,G3_campaign,1,7.0,7.0,3,3,C01-AA-001|C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,37,coverage_greedy,G3_campaign,G1_technique,G3_campaign,1,5.0,5.0,2,2,C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,37,project05_m1,G3_campaign,G1_technique,G3_campaign,1,5.0,5.0,2,2,C01-AA-003|C01-AA-002,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,37,full_evidence,G3_campaign,G3_campaign,G3_campaign,1,0.0,0.0,0,0,,0,0,1.0,1.0,0,0
C01-linux-provenance,stage,0.6,41,random,G3_campaign,G2_tactic_intent,G2_tactic_intent,0,,7.0,,2,C01-AA-005|C01-AA-002,7,4,0.8333,0.8,1,1
C01-linux-provenance,stage,0.6,41,fixed_order,G3_campaign,G2_tactic_intent,G3_campaign,1,7.0,7.0,3,3,C01-AA-001|C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,41,coverage_greedy,G3_campaign,G2_tactic_intent,G3_campaign,1,5.0,5.0,2,2,C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,41,project05_m1,G3_campaign,G2_tactic_intent,G3_campaign,1,5.0,5.0,2,2,C01-AA-003|C01-AA-002,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,41,full_evidence,G3_campaign,G3_campaign,G3_campaign,1,0.0,0.0,0,0,,0,0,1.0,1.0,0,0
C01-linux-provenance,stage,0.6,53,random,G3_campaign,G1_technique,G3_campaign,1,5.0,5.0,2,2,C01-AA-007|C01-AA-003,7,5,0.8333,0.6,0,1
C01-linux-provenance,stage,0.6,53,fixed_order,G3_campaign,G1_technique,G3_campaign,1,7.0,7.0,3,3,C01-AA-001|C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,53,coverage_greedy,G3_campaign,G1_technique,G3_campaign,1,5.0,5.0,2,2,C01-AA-002|C01-AA-003,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,53,project05_m1,G3_campaign,G1_technique,G3_campaign,1,5.0,5.0,2,2,C01-AA-003|C01-AA-002,7,6,1.0,1.0,0,1
C01-linux-provenance,stage,0.6,53,full_evidence,G3_campaign,G3_campaign,G3_campaign,1,0.0,0.0,0,0,,0,0,1.0,1.0,0,0
C01-linux-provenance,discriminative,0.2,11,random,G3_campaign,G2_tactic_intent,G3_campaign,1,7.0,7.0,3,3,C01-AA-008|C01-AA-005|C01-AA-006,3,2,1.0,1.0,0,1
C01-linux-provenance,discriminative,0.2,11,fixed_order,G3_campaign,G2_tactic_intent,G3_campaign,1,7.0,7.0,3,3,C01-AA-001|C01-AA-002|C01-AA-003,3,2,1.0,1.0,0,1
